task_code,patternid_1,pattern_1,translation_1,patternid_2,pattern_2,translation_2,patternid_3,pattern_3,translation_3,patternid_4,pattern_4,translation_4,patternid_5,pattern_5,translation_5,patternid_6,pattern_6,translation_6,patternid_7,pattern_7,translation_7,patternid_8,pattern_8,translation_8,patternid_9,pattern_9,translation_9,patternid_10,pattern_10,translation_10
sentiment,37,{SENTIMENT:neg} {LEMMA:and},"A negative-sentiment word, closely followed by a form of ""and""",47,{LEMMA:be} {LEMMA:great},"A form of ""be"", closely followed by a form of ""great""",14,{LEMMA:comfortable},"A form of ""comfortable""",100,{TYPE:station.v},A type of station (v),84,{LEMMA:not} {LEMMA:even},"A form of ""not"", closely followed by a form of ""even""",17,{SENTIMENT:pos} {LEMMA:!},"A positive-sentiment word, closely followed by a form of ""!""",58,{LEMMA:and} {LEMMA:great},"A form of ""and"", closely followed by a form of ""great""",15,{SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a form of ""and"", and then by a positive-sentiment word",89,{LEMMA:but},"A form of ""but""",44,{LEMMA:small},"A form of ""small"""
sentiment,3,{SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a form of ""and""",18,{LEMMA:love},"A form of ""love""",40,{POS:ADV} {LEMMA:small},"An adverb, closely followed by a form of ""small""",52,{LEMMA:not} {LEMMA:recommend},"A form of ""not"", closely followed by a form of ""recommend""",30,{SENTIMENT:neg} {POS:ADV},"A negative-sentiment word, closely followed by an adverb",11,{SENTIMENT:pos},A positive-sentiment word,53,{POS:ADV} {SENTIMENT:pos} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word, and then by a positive-sentiment word",32,{LEMMA:good},"A form of ""good""",68,{SENTIMENT:pos} {TYPE:measure.n},"A positive-sentiment word, closely followed by a type of measure (n)",49,{LEMMA:be} {SENTIMENT:neg} {LEMMA:and},"A form of ""be"", closely followed by a negative-sentiment word, and then by a form of ""and"""
sentiment,77,{SENTIMENT:pos} {SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a positive-sentiment word",57,{LEMMA:send} {TYPE:back.r},"A form of ""send"", closely followed by a type of back (adv)",95,{SENTIMENT:neg} {LEMMA:the},"A negative-sentiment word, closely followed by a form of ""the""",75,{LEMMA:be} {POS:ADV},"A form of ""be"", closely followed by an adverb",10,{LEMMA:not} {SENTIMENT:pos},"A form of ""not"", closely followed by a positive-sentiment word",60,{LEMMA:way} {LEMMA:too},"A form of ""way"", closely followed by a form of ""too""",35,{LEMMA:do} {LEMMA:not},"A form of ""do"", closely followed by a form of ""not""",12,{POS:ADV} {SENTIMENT:neg},"An adverb, closely followed by a negative-sentiment word",2,{LEMMA:not},"A form of ""not""",6,{LEMMA:and} {SENTIMENT:pos},"A form of ""and"", closely followed by a positive-sentiment word"
sentiment,82,"{POS:ADV} {LEMMA:cheap, SENTIMENT:neg}","An adverb, closely followed by a form of ""cheap"" which is also bearing a negative sentiment",43,{LEMMA:be} {LEMMA:small},"A form of ""be"", closely followed by a form of ""small""",13,{LEMMA:send},"A form of ""send""",91,{POS:ADV} {POS:ADV},"An adverb, closely followed by an adverb",33,{LEMMA:the} {LEMMA:be} {SENTIMENT:neg},"A form of ""the"", closely followed by a form of ""be"", and then by a negative-sentiment word",34,"{TYPE:move.v, LEMMA:return}","A form of ""return"" which is also a type of move (v)",16,{LEMMA:be} {POS:ADV} {SENTIMENT:neg},"A form of ""be"", closely followed by an adverb, and then by a negative-sentiment word",76,{LEMMA:fit} {SENTIMENT:pos},"A form of ""fit"", closely followed by a positive-sentiment word",24,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and""",83,{POS:ADV} {LEMMA:return},"An adverb, closely followed by a form of ""return"""
sentiment,31,{LEMMA:at} {TYPE:wholly.r},"A form of ""at"", closely followed by a type of wholly (adv)",92,{LEMMA:be} {POS:ADV} {SENTIMENT:pos},"A form of ""be"", closely followed by an adverb, and then by a positive-sentiment word",25,{LEMMA:disappointed},"A form of ""disappointed""",62,{SENTIMENT:pos} {LEMMA:for},"A positive-sentiment word, closely followed by a form of ""for""",55,{LEMMA:great} {LEMMA:!},"A form of ""great"", closely followed by a form of ""!""",9,{TYPE:not.r},A type of not (adv),5,{LEMMA:great},"A form of ""great""",46,{TYPE:be.v} {POS:ADV} {SENTIMENT:neg},"A type of be (v), closely followed by an adverb, and then by a negative-sentiment word",1,{LEMMA:return},"A form of ""return""",36,{SENTIMENT:pos} {SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a form of ""and"""
sentiment,80,{SENTIMENT:pos} {LEMMA:and} {POS:ADV},"A positive-sentiment word, closely followed by a form of ""and"", and then by an adverb",29,"{SENTIMENT:neg, POS:ADV}",An adverb which is also bearing a negative sentiment,26,"{SENTIMENT:pos, POS:ADV}",An adverb which is also bearing a positive sentiment,45,{LEMMA:great} {SENTIMENT:pos},"A form of ""great"", closely followed by a positive-sentiment word",69,{LEMMA:be} {POS:ADV} {LEMMA:comfortable},"A form of ""be"", closely followed by an adverb, and then by a form of ""comfortable""",22,"{LEMMA:perfect, SENTIMENT:pos}","A form of ""perfect"" which is also bearing a positive sentiment",19,{TYPE:return.v},A type of return (v),28,{TYPE:be.v} {SENTIMENT:neg},"A type of be (v), closely followed by a negative-sentiment word",65,{LEMMA:way},"A form of ""way""",21,"{LEMMA:well, POS:ADV}","A form of ""well"" which is also an adverb"
sentiment,72,"{LEMMA:be} {LEMMA:cheap, SENTIMENT:neg}","A form of ""be"", closely followed by a form of ""cheap"" which is also bearing a negative sentiment",63,{TYPE:move.v} {LEMMA:back},"A type of move (v), closely followed by a form of ""back""",98,{TYPE:spouse.n},A type of spouse (n),86,{LEMMA:not} {SENTIMENT:pos} {LEMMA:the},"A form of ""not"", closely followed by a positive-sentiment word, and then by a form of ""the""",23,{LEMMA:be} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word",79,{TYPE:love.v},A type of love (v),48,{LEMMA:not} {POS:ADV},"A form of ""not"", closely followed by an adverb",51,{SENTIMENT:neg} {LEMMA:money},"A negative-sentiment word, closely followed by a form of ""money""",7,{SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word",39,{LEMMA:do} {TYPE:not.r},"A form of ""do"", closely followed by a type of not (adv)"
sentiment,97,{SENTIMENT:pos} {LEMMA:but},"A positive-sentiment word, closely followed by a form of ""but""",67,{LEMMA:be} {LEMMA:way},"A form of ""be"", closely followed by a form of ""way""",59,{LEMMA:not} {LEMMA:fit},"A form of ""not"", closely followed by a form of ""fit""",88,{TYPE:move.v},A type of move (v),99,{LEMMA:the} {LEMMA:be} {POS:ADV},"A form of ""the"", closely followed by a form of ""be"", and then by an adverb",90,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and"", and then by a positive-sentiment word",38,{SENTIMENT:neg} {SENTIMENT:neg},"A negative-sentiment word, closely followed by a negative-sentiment word",54,{POS:ADV} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word",71,{LEMMA:year},"A form of ""year""",87,{SENTIMENT:pos} {LEMMA:great},"A positive-sentiment word, closely followed by a form of ""great"""
sentiment,73,{POS:ADV} {LEMMA:the},"An adverb, closely followed by a form of ""the""",78,{SENTIMENT:neg} {LEMMA:and} {POS:ADV},"A negative-sentiment word, closely followed by a form of ""and"", and then by an adverb",74,{LEMMA:love} {LEMMA:!},"A form of ""love"", closely followed by a form of ""!""",85,"{SENTIMENT:pos, POS:ADV} {LEMMA:and}","An adverb which is also bearing a positive sentiment, closely followed by a form of ""and""",27,{LEMMA:be} {LEMMA:too},"A form of ""be"", closely followed by a form of ""too""",66,{LEMMA:be} {LEMMA:return},"A form of ""be"", closely followed by a form of ""return""",8,{LEMMA:be} {SENTIMENT:neg},"A form of ""be"", closely followed by a negative-sentiment word",42,{LEMMA:be} {LEMMA:not},"A form of ""be"", closely followed by a form of ""not""",56,{LEMMA:would} {LEMMA:not},"A form of ""would"", closely followed by a form of ""not""",94,{TYPE:not.r} {LEMMA:at},"A type of not (adv), closely followed by a form of ""at"""
sentiment,81,{LEMMA:uncomfortable},"A form of ""uncomfortable""",41,{LEMMA:durable},"A form of ""durable""",50,{LEMMA:not} {LEMMA:the},"A form of ""not"", closely followed by a form of ""the""",4,{SENTIMENT:neg},A negative-sentiment word,64,{LEMMA:too} {LEMMA:small},"A form of ""too"", closely followed by a form of ""small""",93,{LEMMA:the} {SENTIMENT:neg},"A form of ""the"", closely followed by a negative-sentiment word",61,{SENTIMENT:neg} {LEMMA:not},"A negative-sentiment word, closely followed by a form of ""not""",70,{LEMMA:comfortable} {LEMMA:and},"A form of ""comfortable"", closely followed by a form of ""and""",96,{LEMMA:be} {SENTIMENT:pos} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a positive-sentiment word",20,"{LEMMA:cheap, SENTIMENT:neg}","A form of ""cheap"" which is also bearing a negative sentiment"
sentiment,39,{LEMMA:do} {TYPE:not.r},"A form of ""do"", closely followed by a type of not (adv)",53,{POS:ADV} {SENTIMENT:pos} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word, and then by a positive-sentiment word",11,{SENTIMENT:pos},A positive-sentiment word,52,{LEMMA:not} {LEMMA:recommend},"A form of ""not"", closely followed by a form of ""recommend""",10,{LEMMA:not} {SENTIMENT:pos},"A form of ""not"", closely followed by a positive-sentiment word",26,"{SENTIMENT:pos, POS:ADV}",An adverb which is also bearing a positive sentiment,74,{LEMMA:love} {LEMMA:!},"A form of ""love"", closely followed by a form of ""!""",20,"{LEMMA:cheap, SENTIMENT:neg}","A form of ""cheap"" which is also bearing a negative sentiment",43,{LEMMA:be} {LEMMA:small},"A form of ""be"", closely followed by a form of ""small""",84,{LEMMA:not} {LEMMA:even},"A form of ""not"", closely followed by a form of ""even"""
sentiment,27,{LEMMA:be} {LEMMA:too},"A form of ""be"", closely followed by a form of ""too""",93,{LEMMA:the} {SENTIMENT:neg},"A form of ""the"", closely followed by a negative-sentiment word",82,"{POS:ADV} {LEMMA:cheap, SENTIMENT:neg}","An adverb, closely followed by a form of ""cheap"" which is also bearing a negative sentiment",68,{SENTIMENT:pos} {TYPE:measure.n},"A positive-sentiment word, closely followed by a type of measure (n)",75,{LEMMA:be} {POS:ADV},"A form of ""be"", closely followed by an adverb",60,{LEMMA:way} {LEMMA:too},"A form of ""way"", closely followed by a form of ""too""",58,{LEMMA:and} {LEMMA:great},"A form of ""and"", closely followed by a form of ""great""",66,{LEMMA:be} {LEMMA:return},"A form of ""be"", closely followed by a form of ""return""",3,{SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a form of ""and""",81,{LEMMA:uncomfortable},"A form of ""uncomfortable"""
sentiment,65,{LEMMA:way},"A form of ""way""",14,{LEMMA:comfortable},"A form of ""comfortable""",55,{LEMMA:great} {LEMMA:!},"A form of ""great"", closely followed by a form of ""!""",71,{LEMMA:year},"A form of ""year""",47,{LEMMA:be} {LEMMA:great},"A form of ""be"", closely followed by a form of ""great""",32,{LEMMA:good},"A form of ""good""",37,{SENTIMENT:neg} {LEMMA:and},"A negative-sentiment word, closely followed by a form of ""and""",91,{POS:ADV} {POS:ADV},"An adverb, closely followed by an adverb",5,{LEMMA:great},"A form of ""great""",35,{LEMMA:do} {LEMMA:not},"A form of ""do"", closely followed by a form of ""not"""
sentiment,97,{SENTIMENT:pos} {LEMMA:but},"A positive-sentiment word, closely followed by a form of ""but""",100,{TYPE:station.v},A type of station (v),61,{SENTIMENT:neg} {LEMMA:not},"A negative-sentiment word, closely followed by a form of ""not""",44,{LEMMA:small},"A form of ""small""",23,{LEMMA:be} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word",18,{LEMMA:love},"A form of ""love""",31,{LEMMA:at} {TYPE:wholly.r},"A form of ""at"", closely followed by a type of wholly (adv)",98,{TYPE:spouse.n},A type of spouse (n),1,{LEMMA:return},"A form of ""return""",92,{LEMMA:be} {POS:ADV} {SENTIMENT:pos},"A form of ""be"", closely followed by an adverb, and then by a positive-sentiment word"
sentiment,78,{SENTIMENT:neg} {LEMMA:and} {POS:ADV},"A negative-sentiment word, closely followed by a form of ""and"", and then by an adverb",57,{LEMMA:send} {TYPE:back.r},"A form of ""send"", closely followed by a type of back (adv)",48,{LEMMA:not} {POS:ADV},"A form of ""not"", closely followed by an adverb",86,{LEMMA:not} {SENTIMENT:pos} {LEMMA:the},"A form of ""not"", closely followed by a positive-sentiment word, and then by a form of ""the""",41,{LEMMA:durable},"A form of ""durable""",50,{LEMMA:not} {LEMMA:the},"A form of ""not"", closely followed by a form of ""the""",54,{POS:ADV} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word",40,{POS:ADV} {LEMMA:small},"An adverb, closely followed by a form of ""small""",89,{LEMMA:but},"A form of ""but""",83,{POS:ADV} {LEMMA:return},"An adverb, closely followed by a form of ""return"""
sentiment,79,{TYPE:love.v},A type of love (v),62,{SENTIMENT:pos} {LEMMA:for},"A positive-sentiment word, closely followed by a form of ""for""",21,"{LEMMA:well, POS:ADV}","A form of ""well"" which is also an adverb",13,{LEMMA:send},"A form of ""send""",34,"{TYPE:move.v, LEMMA:return}","A form of ""return"" which is also a type of move (v)",85,"{SENTIMENT:pos, POS:ADV} {LEMMA:and}","An adverb which is also bearing a positive sentiment, closely followed by a form of ""and""",15,{SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a form of ""and"", and then by a positive-sentiment word",73,{POS:ADV} {LEMMA:the},"An adverb, closely followed by a form of ""the""",72,"{LEMMA:be} {LEMMA:cheap, SENTIMENT:neg}","A form of ""be"", closely followed by a form of ""cheap"" which is also bearing a negative sentiment",51,{SENTIMENT:neg} {LEMMA:money},"A negative-sentiment word, closely followed by a form of ""money"""
sentiment,25,{LEMMA:disappointed},"A form of ""disappointed""",16,{LEMMA:be} {POS:ADV} {SENTIMENT:neg},"A form of ""be"", closely followed by an adverb, and then by a negative-sentiment word",80,{SENTIMENT:pos} {LEMMA:and} {POS:ADV},"A positive-sentiment word, closely followed by a form of ""and"", and then by an adverb",42,{LEMMA:be} {LEMMA:not},"A form of ""be"", closely followed by a form of ""not""",94,{TYPE:not.r} {LEMMA:at},"A type of not (adv), closely followed by a form of ""at""",49,{LEMMA:be} {SENTIMENT:neg} {LEMMA:and},"A form of ""be"", closely followed by a negative-sentiment word, and then by a form of ""and""",36,{SENTIMENT:pos} {SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a form of ""and""",59,{LEMMA:not} {LEMMA:fit},"A form of ""not"", closely followed by a form of ""fit""",64,{LEMMA:too} {LEMMA:small},"A form of ""too"", closely followed by a form of ""small""",33,{LEMMA:the} {LEMMA:be} {SENTIMENT:neg},"A form of ""the"", closely followed by a form of ""be"", and then by a negative-sentiment word"
sentiment,30,{SENTIMENT:neg} {POS:ADV},"A negative-sentiment word, closely followed by an adverb",87,{SENTIMENT:pos} {LEMMA:great},"A positive-sentiment word, closely followed by a form of ""great""",95,{SENTIMENT:neg} {LEMMA:the},"A negative-sentiment word, closely followed by a form of ""the""",46,{TYPE:be.v} {POS:ADV} {SENTIMENT:neg},"A type of be (v), closely followed by an adverb, and then by a negative-sentiment word",12,{POS:ADV} {SENTIMENT:neg},"An adverb, closely followed by a negative-sentiment word",67,{LEMMA:be} {LEMMA:way},"A form of ""be"", closely followed by a form of ""way""",77,{SENTIMENT:pos} {SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a positive-sentiment word",70,{LEMMA:comfortable} {LEMMA:and},"A form of ""comfortable"", closely followed by a form of ""and""",96,{LEMMA:be} {SENTIMENT:pos} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a positive-sentiment word",6,{LEMMA:and} {SENTIMENT:pos},"A form of ""and"", closely followed by a positive-sentiment word"
sentiment,38,{SENTIMENT:neg} {SENTIMENT:neg},"A negative-sentiment word, closely followed by a negative-sentiment word",76,{LEMMA:fit} {SENTIMENT:pos},"A form of ""fit"", closely followed by a positive-sentiment word",28,{TYPE:be.v} {SENTIMENT:neg},"A type of be (v), closely followed by a negative-sentiment word",63,{TYPE:move.v} {LEMMA:back},"A type of move (v), closely followed by a form of ""back""",22,"{LEMMA:perfect, SENTIMENT:pos}","A form of ""perfect"" which is also bearing a positive sentiment",9,{TYPE:not.r},A type of not (adv),88,{TYPE:move.v},A type of move (v),2,{LEMMA:not},"A form of ""not""",4,{SENTIMENT:neg},A negative-sentiment word,99,{LEMMA:the} {LEMMA:be} {POS:ADV},"A form of ""the"", closely followed by a form of ""be"", and then by an adverb"
sentiment,45,{LEMMA:great} {SENTIMENT:pos},"A form of ""great"", closely followed by a positive-sentiment word",90,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and"", and then by a positive-sentiment word",17,{SENTIMENT:pos} {LEMMA:!},"A positive-sentiment word, closely followed by a form of ""!""",29,"{SENTIMENT:neg, POS:ADV}",An adverb which is also bearing a negative sentiment,8,{LEMMA:be} {SENTIMENT:neg},"A form of ""be"", closely followed by a negative-sentiment word",56,{LEMMA:would} {LEMMA:not},"A form of ""would"", closely followed by a form of ""not""",24,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and""",19,{TYPE:return.v},A type of return (v),69,{LEMMA:be} {POS:ADV} {LEMMA:comfortable},"A form of ""be"", closely followed by an adverb, and then by a form of ""comfortable""",7,{SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word"
